"Name.Ret","Month.Ret","Sales.Ret","ExciseTax.Ret","County.Ret","Established.Ret","RetailerURLLink"
"205","GREEN COLLAR CANNBIS","Mar-2016","$226,805","$83,918","Pierce County","Retailer since Aug 2015","http://www.502data.com/license/412923"
"206","GREEN COLLAR CANNBIS","Feb-2016","$214,825","$79,485","Pierce County","Retailer since Aug 2015","http://www.502data.com/license/412923"
"207","GREEN COLLAR CANNBIS","Jan-2016","$188,847","$69,873","Pierce County","Retailer since Aug 2015","http://www.502data.com/license/412923"
"208","GREEN COLLAR CANNBIS","All-2015","$617,286","$228,396","Pierce County","Retailer since Aug 2015","http://www.502data.com/license/412923"
"209","SATORI","Oct-2016","$615,967","$227,908","Spokane County","Retailer since Aug 2014","http://www.502data.com/license/414664"
"210","SATORI","Sep-2016","$628,852","$232,675","Spokane County","Retailer since Aug 2014","http://www.502data.com/license/414664"
"211","SATORI","Aug-2016","$623,457","$230,679","Spokane County","Retailer since Aug 2014","http://www.502data.com/license/414664"
"212","SATORI","Jul-2016","$602,159","$222,799","Spokane County","Retailer since Aug 2014","http://www.502data.com/license/414664"
"213","SATORI","Jun-2016","$504,987","$186,845","Spokane County","Retailer since Aug 2014","http://www.502data.com/license/414664"
"214","SATORI","May-2016","$521,033","$192,782","Spokane County","Retailer since Aug 2014","http://www.502data.com/license/414664"
