"Name","Month","Sales","ExciseTax","County","Established","ProdProcURLLink"
"137","SOLSTICE PRO","All-2015","$94,227","$0","King County","Processor since Nov 2015","http://www.502data.com/license/412056"
"138","HONU ENTERPRISES","Oct-2016","$360,096","$0","Cowlitz County","Producer/Processor since Jul 2015","http://www.502data.com/license/412097"
"139","HONU ENTERPRISES","Sep-2016","$333,702","$0","Cowlitz County","Producer/Processor since Jul 2015","http://www.502data.com/license/412097"
"140","HONU ENTERPRISES","Aug-2016","$413,146","$0","Cowlitz County","Producer/Processor since Jul 2015","http://www.502data.com/license/412097"
"141","HONU ENTERPRISES","Jul-2016","$306,522","$0","Cowlitz County","Producer/Processor since Jul 2015","http://www.502data.com/license/412097"
"142","HONU ENTERPRISES","Jun-2016","$311,804","$0","Cowlitz County","Producer/Processor since Jul 2015","http://www.502data.com/license/412097"
"143","HONU ENTERPRISES","May-2016","$228,083","$0","Cowlitz County","Producer/Processor since Jul 2015","http://www.502data.com/license/412097"
"144","HONU ENTERPRISES","Apr-2016","$217,526","$0","Cowlitz County","Producer/Processor since Jul 2015","http://www.502data.com/license/412097"
"145","HONU ENTERPRISES","Mar-2016","$206,188","$0","Cowlitz County","Producer/Processor since Jul 2015","http://www.502data.com/license/412097"
"146","HONU ENTERPRISES","Feb-2016","$142,899","$0","Cowlitz County","Producer/Processor since Jul 2015","http://www.502data.com/license/412097"
"147","HONU ENTERPRISES","Jan-2016","$161,807","$0","Cowlitz County","Producer/Processor since Jul 2015","http://www.502data.com/license/412097"
"148","HONU ENTERPRISES","All-2015","$455,132","$16,955","Cowlitz County","Producer/Processor since Jul 2015","http://www.502data.com/license/412097"
"149","OPTIMUM EXTRACTS","Oct-2016","$335,405","$0","King County","Processor since Oct 2015","http://www.502data.com/license/416911"
"150","OPTIMUM EXTRACTS","Sep-2016","$370,568","$0","King County","Processor since Oct 2015","http://www.502data.com/license/416911"
"151","OPTIMUM EXTRACTS","Aug-2016","$360,650","$0","King County","Processor since Oct 2015","http://www.502data.com/license/416911"
"152","OPTIMUM EXTRACTS","Jul-2016","$198,099","$0","King County","Processor since Oct 2015","http://www.502data.com/license/416911"
"153","OPTIMUM EXTRACTS","Jun-2016","$218,903","$0","King County","Processor since Oct 2015","http://www.502data.com/license/416911"
"154","OPTIMUM EXTRACTS","May-2016","$147,595","$0","King County","Processor since Oct 2015","http://www.502data.com/license/416911"
"155","OPTIMUM EXTRACTS","Apr-2016","$139,184","$0","King County","Processor since Oct 2015","http://www.502data.com/license/416911"
"156","OPTIMUM EXTRACTS","Mar-2016","$94,380","$0","King County","Processor since Oct 2015","http://www.502data.com/license/416911"
"157","OPTIMUM EXTRACTS","Feb-2016","$88,944","$0","King County","Processor since Oct 2015","http://www.502data.com/license/416911"
"158","OPTIMUM EXTRACTS","Jan-2016","$92,325","$0","King County","Processor since Oct 2015","http://www.502data.com/license/416911"
"159","OPTIMUM EXTRACTS","All-2015","$73,907","$0","King County","Processor since Oct 2015","http://www.502data.com/license/416911"
"160","DOC CROC","Oct-2016","$326,601","$0","Thurston County","Producer/Processor since Mar 2015","http://www.502data.com/license/413948"
"161","DOC CROC","Sep-2016","$388,163","$0","Thurston County","Producer/Processor since Mar 2015","http://www.502data.com/license/413948"
"162","DOC CROC","Aug-2016","$367,425","$0","Thurston County","Producer/Processor since Mar 2015","http://www.502data.com/license/413948"
"163","DOC CROC","Jul-2016","$260,845","$0","Thurston County","Producer/Processor since Mar 2015","http://www.502data.com/license/413948"
"164","DOC CROC","Jun-2016","$282,996","$0","Thurston County","Producer/Processor since Mar 2015","http://www.502data.com/license/413948"
"165","DOC CROC","May-2016","$185,839","$0","Thurston County","Producer/Processor since Mar 2015","http://www.502data.com/license/413948"
"166","DOC CROC","Apr-2016","$261,032","$0","Thurston County","Producer/Processor since Mar 2015","http://www.502data.com/license/413948"
"167","DOC CROC","Mar-2016","$200,319","$0","Thurston County","Producer/Processor since Mar 2015","http://www.502data.com/license/413948"
"168","DOC CROC","Feb-2016","$141,924","$0","Thurston County","Producer/Processor since Mar 2015","http://www.502data.com/license/413948"
"169","DOC CROC","Jan-2016","$117,991","$0","Thurston County","Producer/Processor since Mar 2015","http://www.502data.com/license/413948"
"170","DOC CROC","All-2015","$777,293","$31,121","Thurston County","Producer/Processor since Mar 2015","http://www.502data.com/license/413948"
"171","BOTANICA SEATTLE","Oct-2016","$321,497","$0","King County","Processor since Nov 2014","http://www.502data.com/license/412724"
"172","BOTANICA SEATTLE","Sep-2016","$377,931","$0","King County","Processor since Nov 2014","http://www.502data.com/license/412724"
"173","BOTANICA SEATTLE","Aug-2016","$377,380","$0","King County","Processor since Nov 2014","http://www.502data.com/license/412724"
"174","BOTANICA SEATTLE","Jul-2016","$340,725","$0","King County","Processor since Nov 2014","http://www.502data.com/license/412724"
"175","BOTANICA SEATTLE","Jun-2016","$313,571","$0","King County","Processor since Nov 2014","http://www.502data.com/license/412724"
"176","BOTANICA SEATTLE","May-2016","$284,293","$0","King County","Processor since Nov 2014","http://www.502data.com/license/412724"
"177","BOTANICA SEATTLE","Apr-2016","$299,130","$0","King County","Processor since Nov 2014","http://www.502data.com/license/412724"
"178","BOTANICA SEATTLE","Mar-2016","$300,216","-$80","King County","Processor since Nov 2014","http://www.502data.com/license/412724"
"179","BOTANICA SEATTLE","Feb-2016","$240,643","-$56","King County","Processor since Nov 2014","http://www.502data.com/license/412724"
"180","BOTANICA SEATTLE","Jan-2016","$233,583","$0","King County","Processor since Nov 2014","http://www.502data.com/license/412724"
"181","BOTANICA SEATTLE","All-2015","$1,927,194","$201,705","King County","Processor since Nov 2014","http://www.502data.com/license/412724"
"182","BOTANICA SEATTLE","All-2014","$125,831","$41,944","King County","Processor since Nov 2014","http://www.502data.com/license/412724"
"183","GREEN HAVEN LLC","Oct-2016","$313,328","$0","Snohomish County","Producer/Processor since Apr 2016","http://www.502data.com/license/421941"
"184","GREEN HAVEN LLC","Sep-2016","$255,882","$0","Snohomish County","Producer/Processor since Apr 2016","http://www.502data.com/license/421941"
"185","GREEN HAVEN LLC","Aug-2016","$256,062","$0","Snohomish County","Producer/Processor since Apr 2016","http://www.502data.com/license/421941"
"186","GREEN HAVEN LLC","Jul-2016","$153,087","$0","Snohomish County","Producer/Processor since Apr 2016","http://www.502data.com/license/421941"
"187","GREEN HAVEN LLC","Jun-2016","$142,362","$0","Snohomish County","Producer/Processor since Apr 2016","http://www.502data.com/license/421941"
"188","GREEN HAVEN LLC","May-2016","$148,584","$0","Snohomish County","Producer/Processor since Apr 2016","http://www.502data.com/license/421941"
"189","GREEN HAVEN LLC","Apr-2016","$33,993","$0","Snohomish County","Producer/Processor since Apr 2016","http://www.502data.com/license/421941"
"190","BUDDY BOY FARMS","Oct-2016","$308,313","$0","Lincoln County","Producer/Processor since Jul 2014","http://www.502data.com/license/412053"
"191","BUDDY BOY FARMS","Sep-2016","$228,360","$0","Lincoln County","Producer/Processor since Jul 2014","http://www.502data.com/license/412053"
"192","BUDDY BOY FARMS","Aug-2016","$402,657","$0","Lincoln County","Producer/Processor since Jul 2014","http://www.502data.com/license/412053"
"193","BUDDY BOY FARMS","Jul-2016","$107,288","$0","Lincoln County","Producer/Processor since Jul 2014","http://www.502data.com/license/412053"
"194","BUDDY BOY FARMS","Jun-2016","$167,668","-$2","Lincoln County","Producer/Processor since Jul 2014","http://www.502data.com/license/412053"
"195","BUDDY BOY FARMS","May-2016","$172,332","$0","Lincoln County","Producer/Processor since Jul 2014","http://www.502data.com/license/412053"
"196","BUDDY BOY FARMS","Apr-2016","$211,827","$0","Lincoln County","Producer/Processor since Jul 2014","http://www.502data.com/license/412053"
"197","BUDDY BOY FARMS","Mar-2016","$212,773","$0","Lincoln County","Producer/Processor since Jul 2014","http://www.502data.com/license/412053"
"198","BUDDY BOY FARMS","Feb-2016","$172,891","$0","Lincoln County","Producer/Processor since Jul 2014","http://www.502data.com/license/412053"
"199","BUDDY BOY FARMS","Jan-2016","$258,204","$0","Lincoln County","Producer/Processor since Jul 2014","http://www.502data.com/license/412053"
"200","BUDDY BOY FARMS","All-2015","$2,081,958","$304,760","Lincoln County","Producer/Processor since Jul 2014","http://www.502data.com/license/412053"
"201","BUDDY BOY FARMS","All-2014","$611,735","$203,912","Lincoln County","Producer/Processor since Jul 2014","http://www.502data.com/license/412053"
"202","XTRACTED LABS","Oct-2016","$307,410","-$54","King County","Processor since May 2015","http://www.502data.com/license/412347"
"203","XTRACTED LABS","Sep-2016","$309,888","$0","King County","Processor since May 2015","http://www.502data.com/license/412347"
"204","XTRACTED LABS","Aug-2016","$370,736","$0","King County","Processor since May 2015","http://www.502data.com/license/412347"
"205","XTRACTED LABS","Jul-2016","$266,698","-$79","King County","Processor since May 2015","http://www.502data.com/license/412347"
"206","XTRACTED LABS","Jun-2016","$319,253","$0","King County","Processor since May 2015","http://www.502data.com/license/412347"
"207","XTRACTED LABS","May-2016","$343,201","$0","King County","Processor since May 2015","http://www.502data.com/license/412347"
"208","XTRACTED LABS","Apr-2016","$323,340","-$3","King County","Processor since May 2015","http://www.502data.com/license/412347"
"209","XTRACTED LABS","Mar-2016","$257,242","$0","King County","Processor since May 2015","http://www.502data.com/license/412347"
"210","XTRACTED LABS","Feb-2016","$234,792","$0","King County","Processor since May 2015","http://www.502data.com/license/412347"
"211","XTRACTED LABS","Jan-2016","$200,624","$0","King County","Processor since May 2015","http://www.502data.com/license/412347"
