"Name","Month","Sales","ExciseTax","County","Established","RetailerURLLink"
"147","HIGHWAY 7","Aug-2016",703579,260324,"Pierce County","Retailer since Aug 2014","http://www.502data.com//license/414889"
"148","HIGHWAY 7","Jul-2016",730948,270451,"Pierce County","Retailer since Aug 2014","http://www.502data.com//license/414889"
"149","HIGHWAY 7","Jun-2016",515227,190634,"Pierce County","Retailer since Aug 2014","http://www.502data.com//license/414889"
"150","HIGHWAY 7","May-2016",513172,189874,"Pierce County","Retailer since Aug 2014","http://www.502data.com//license/414889"
"151","HIGHWAY 7","Apr-2016",541884,200497,"Pierce County","Retailer since Aug 2014","http://www.502data.com//license/414889"
"152","HIGHWAY 7","Mar-2016",567028,209801,"Pierce County","Retailer since Aug 2014","http://www.502data.com//license/414889"
"153","HIGHWAY 7","Feb-2016",555281,205454,"Pierce County","Retailer since Aug 2014","http://www.502data.com//license/414889"
"154","HIGHWAY 7","Jan-2016",547094,202425,"Pierce County","Retailer since Aug 2014","http://www.502data.com//license/414889"
"155","HIGHWAY 7","All-2015",3044755,1104113,"Pierce County","Retailer since Aug 2014","http://www.502data.com//license/414889"
"156","HIGHWAY 7","All-2014",342691,114230,"Pierce County","Retailer since Aug 2014","http://www.502data.com//license/414889"
"157","SATIVA SISTERS","Sep-2016",661202,244645,"Spokane County","Retailer since Aug 2014","http://www.502data.com//license/413739"
"158","SATIVA SISTERS","Aug-2016",681020,251977,"Spokane County","Retailer since Aug 2014","http://www.502data.com//license/413739"
"159","SATIVA SISTERS","Jul-2016",672019,248647,"Spokane County","Retailer since Aug 2014","http://www.502data.com//license/413739"
"160","SATIVA SISTERS","Jun-2016",602937,223087,"Spokane County","Retailer since Aug 2014","http://www.502data.com//license/413739"
"161","SATIVA SISTERS","May-2016",589000,217930,"Spokane County","Retailer since Aug 2014","http://www.502data.com//license/413739"
"162","SATIVA SISTERS","Apr-2016",591077,218698,"Spokane County","Retailer since Aug 2014","http://www.502data.com//license/413739"
"163","SATIVA SISTERS","Mar-2016",579309,214344,"Spokane County","Retailer since Aug 2014","http://www.502data.com//license/413739"
"164","SATIVA SISTERS","Feb-2016",570455,211068,"Spokane County","Retailer since Aug 2014","http://www.502data.com//license/413739"
"165","SATIVA SISTERS","Jan-2016",553403,204759,"Spokane County","Retailer since Aug 2014","http://www.502data.com//license/413739"
"166","SATIVA SISTERS","All-2015",5255077,1876577,"Spokane County","Retailer since Aug 2014","http://www.502data.com//license/413739"
"167","SATIVA SISTERS","All-2014",751896,250632,"Spokane County","Retailer since Aug 2014","http://www.502data.com//license/413739"
"168","GANJA GODDESS","Sep-2016",657285,243195,"King County","Retailer since Nov 2014","http://www.502data.com//license/413558"
"169","GANJA GODDESS","Aug-2016",696404,257669,"King County","Retailer since Nov 2014","http://www.502data.com//license/413558"
"170","GANJA GODDESS","Jul-2016",711836,263379,"King County","Retailer since Nov 2014","http://www.502data.com//license/413558"
"171","GANJA GODDESS","Jun-2016",606502,224406,"King County","Retailer since Nov 2014","http://www.502data.com//license/413558"
"172","GANJA GODDESS","May-2016",606103,224258,"King County","Retailer since Nov 2014","http://www.502data.com//license/413558"
"173","GANJA GODDESS","Apr-2016",588056,217581,"King County","Retailer since Nov 2014","http://www.502data.com//license/413558"
"174","GANJA GODDESS","Mar-2016",563839,208621,"King County","Retailer since Nov 2014","http://www.502data.com//license/413558"
"175","GANJA GODDESS","Feb-2016",515948,190901,"King County","Retailer since Nov 2014","http://www.502data.com//license/413558"
"176","GANJA GODDESS","Jan-2016",505426,187008,"King County","Retailer since Nov 2014","http://www.502data.com//license/413558"
"177","GANJA GODDESS","All-2015",3879483,1389642,"King County","Retailer since Nov 2014","http://www.502data.com//license/413558"
"178","GANJA GODDESS","All-2014",196762,65587,"King County","Retailer since Nov 2014","http://www.502data.com//license/413558"
"179","TREEHOUSE CLUB","Sep-2016",657038,243104,"Spokane County","Retailer since Dec 2014","http://www.502data.com//license/413369"
"180","TREEHOUSE CLUB","Aug-2016",624358,231012,"Spokane County","Retailer since Dec 2014","http://www.502data.com//license/413369"
"181","TREEHOUSE CLUB","Jul-2016",590040,218315,"Spokane County","Retailer since Dec 2014","http://www.502data.com//license/413369"
"182","TREEHOUSE CLUB","Jun-2016",519105,192069,"Spokane County","Retailer since Dec 2014","http://www.502data.com//license/413369"
"183","TREEHOUSE CLUB","May-2016",489173,180994,"Spokane County","Retailer since Dec 2014","http://www.502data.com//license/413369"
"184","TREEHOUSE CLUB","Apr-2016",491713,181934,"Spokane County","Retailer since Dec 2014","http://www.502data.com//license/413369"
"185","TREEHOUSE CLUB","Mar-2016",454914,168318,"Spokane County","Retailer since Dec 2014","http://www.502data.com//license/413369"
"186","TREEHOUSE CLUB","Feb-2016",391811,144970,"Spokane County","Retailer since Dec 2014","http://www.502data.com//license/413369"
