"Name","Month","Sales","ExciseTax","County","Established","ProdProcURLLink"
"148","PODWORKS CORP","Sep-2016",357410,0,"Snohomish County","Producer/Processor since Jul 2016","http://www.502data.com//license/423396"
"149","PODWORKS CORP","Aug-2016",385888,0,"Snohomish County","Producer/Processor since Jul 2016","http://www.502data.com//license/423396"
"150","PODWORKS CORP","Jul-2016",260103,0,"Snohomish County","Producer/Processor since Jul 2016","http://www.502data.com//license/423396"
"151","PODWORKS CORP","Jun-2016",269273,0,"Snohomish County","Producer/Processor since Jul 2016","http://www.502data.com//license/423396"
"152","PODWORKS CORP","May-2016",254641,0,"Snohomish County","Producer/Processor since Jul 2016","http://www.502data.com//license/423396"
"153","PODWORKS CORP","Apr-2016",198648,0,"Snohomish County","Producer/Processor since Jul 2016","http://www.502data.com//license/423396"
"154","PODWORKS CORP","Mar-2016",164395,0,"Snohomish County","Producer/Processor since Jul 2016","http://www.502data.com//license/423396"
"155","PODWORKS CORP","Feb-2016",205920,275,"Snohomish County","Producer/Processor since Jul 2016","http://www.502data.com//license/423396"
"156","PODWORKS CORP","Jan-2016",206558,140,"Snohomish County","Producer/Processor since Jul 2016","http://www.502data.com//license/423396"
"157","PODWORKS CORP","All-2015",1601274,88062,"Snohomish County","Producer/Processor since Jul 2016","http://www.502data.com//license/423396"
"158","VIRGINIA ENTERPRISES","Sep-2016",354102,0,"Stevens County","Producer/Processor since Nov 2014","http://www.502data.com//license/416539"
"159","VIRGINIA ENTERPRISES","Aug-2016",231573,0,"Stevens County","Producer/Processor since Nov 2014","http://www.502data.com//license/416539"
"160","VIRGINIA ENTERPRISES","Jul-2016",155089,0,"Stevens County","Producer/Processor since Nov 2014","http://www.502data.com//license/416539"
"161","VIRGINIA ENTERPRISES","Jun-2016",136159,0,"Stevens County","Producer/Processor since Nov 2014","http://www.502data.com//license/416539"
"162","VIRGINIA ENTERPRISES","May-2016",126599,0,"Stevens County","Producer/Processor since Nov 2014","http://www.502data.com//license/416539"
"163","VIRGINIA ENTERPRISES","Apr-2016",113778,0,"Stevens County","Producer/Processor since Nov 2014","http://www.502data.com//license/416539"
"164","VIRGINIA ENTERPRISES","Mar-2016",127388,0,"Stevens County","Producer/Processor since Nov 2014","http://www.502data.com//license/416539"
"165","VIRGINIA ENTERPRISES","Feb-2016",89690,0,"Stevens County","Producer/Processor since Nov 2014","http://www.502data.com//license/416539"
"166","VIRGINIA ENTERPRISES","Jan-2016",128619,0,"Stevens County","Producer/Processor since Nov 2014","http://www.502data.com//license/416539"
"167","VIRGINIA ENTERPRISES","All-2015",750123,38757,"Stevens County","Producer/Processor since Nov 2014","http://www.502data.com//license/416539"
"168","VIRGINIA ENTERPRISES","All-2014",7579,2526,"Stevens County","Producer/Processor since Nov 2014","http://www.502data.com//license/416539"
"169","DB3","Sep-2016",347661,0,"King County","Producer/Processor since Oct 2014","http://www.502data.com//license/412252"
"170","DB3","Aug-2016",309781,0,"King County","Producer/Processor since Oct 2014","http://www.502data.com//license/412252"
"171","DB3","Jul-2016",313397,0,"King County","Producer/Processor since Oct 2014","http://www.502data.com//license/412252"
"172","DB3","Jun-2016",347977,32,"King County","Producer/Processor since Oct 2014","http://www.502data.com//license/412252"
"173","DB3","May-2016",341532,0,"King County","Producer/Processor since Oct 2014","http://www.502data.com//license/412252"
"174","DB3","Apr-2016",333200,66,"King County","Producer/Processor since Oct 2014","http://www.502data.com//license/412252"
"175","DB3","Mar-2016",373709,25,"King County","Producer/Processor since Oct 2014","http://www.502data.com//license/412252"
"176","DB3","Feb-2016",340894,159,"King County","Producer/Processor since Oct 2014","http://www.502data.com//license/412252"
"177","DB3","Jan-2016",338779,0,"King County","Producer/Processor since Oct 2014","http://www.502data.com//license/412252"
"178","DB3","All-2015",4234297,685752,"King County","Producer/Processor since Oct 2014","http://www.502data.com//license/412252"
"179","DB3","All-2014",635312,211771,"King County","Producer/Processor since Oct 2014","http://www.502data.com//license/412252"
"180","HONU ENTERPRISES","Sep-2016",333702,0,"Cowlitz County","Producer/Processor since Jul 2015","http://www.502data.com//license/412097"
"181","HONU ENTERPRISES","Aug-2016",413146,0,"Cowlitz County","Producer/Processor since Jul 2015","http://www.502data.com//license/412097"
"182","HONU ENTERPRISES","Jul-2016",306522,0,"Cowlitz County","Producer/Processor since Jul 2015","http://www.502data.com//license/412097"
"183","HONU ENTERPRISES","Jun-2016",311804,0,"Cowlitz County","Producer/Processor since Jul 2015","http://www.502data.com//license/412097"
"184","HONU ENTERPRISES","May-2016",228083,0,"Cowlitz County","Producer/Processor since Jul 2015","http://www.502data.com//license/412097"
"185","HONU ENTERPRISES","Apr-2016",217526,0,"Cowlitz County","Producer/Processor since Jul 2015","http://www.502data.com//license/412097"
"186","HONU ENTERPRISES","Mar-2016",206188,0,"Cowlitz County","Producer/Processor since Jul 2015","http://www.502data.com//license/412097"
"187","HONU ENTERPRISES","Feb-2016",142899,0,"Cowlitz County","Producer/Processor since Jul 2015","http://www.502data.com//license/412097"
"188","HONU ENTERPRISES","Jan-2016",161807,0,"Cowlitz County","Producer/Processor since Jul 2015","http://www.502data.com//license/412097"
"189","HONU ENTERPRISES","All-2015",455132,16955,"Cowlitz County","Producer/Processor since Jul 2015","http://www.502data.com//license/412097"
"190","GORBEN","Sep-2016",331584,0,"Pierce County","Processor since Sep 2015","http://www.502data.com//license/415712"
"191","GORBEN","Aug-2016",237923,0,"Pierce County","Processor since Sep 2015","http://www.502data.com//license/415712"
"192","GORBEN","Jul-2016",169710,0,"Pierce County","Processor since Sep 2015","http://www.502data.com//license/415712"
"193","GORBEN","Jun-2016",154129,0,"Pierce County","Processor since Sep 2015","http://www.502data.com//license/415712"
"194","GORBEN","May-2016",188119,0,"Pierce County","Processor since Sep 2015","http://www.502data.com//license/415712"
"195","GORBEN","Apr-2016",85455,0,"Pierce County","Processor since Sep 2015","http://www.502data.com//license/415712"
"196","GORBEN","Mar-2016",52381,0,"Pierce County","Processor since Sep 2015","http://www.502data.com//license/415712"
"197","GORBEN","Feb-2016",63682,0,"Pierce County","Processor since Sep 2015","http://www.502data.com//license/415712"
"198","GORBEN","Jan-2016",118717,0,"Pierce County","Processor since Sep 2015","http://www.502data.com//license/415712"
"199","GORBEN","All-2015",198221,0,"Pierce County","Processor since Sep 2015","http://www.502data.com//license/415712"
"200","XTRACTED LABS","Sep-2016",309888,0,"King County","Processor since May 2015","http://www.502data.com//license/412347"
"201","XTRACTED LABS","Aug-2016",370736,0,"King County","Processor since May 2015","http://www.502data.com//license/412347"
"202","XTRACTED LABS","Jul-2016",266698,79,"King County","Processor since May 2015","http://www.502data.com//license/412347"
"203","XTRACTED LABS","Jun-2016",319253,0,"King County","Processor since May 2015","http://www.502data.com//license/412347"
"204","XTRACTED LABS","May-2016",343201,0,"King County","Processor since May 2015","http://www.502data.com//license/412347"
"205","XTRACTED LABS","Apr-2016",323340,3,"King County","Processor since May 2015","http://www.502data.com//license/412347"
"206","XTRACTED LABS","Mar-2016",257242,0,"King County","Processor since May 2015","http://www.502data.com//license/412347"
"207","XTRACTED LABS","Feb-2016",234792,0,"King County","Processor since May 2015","http://www.502data.com//license/412347"
"208","XTRACTED LABS","Jan-2016",200624,0,"King County","Processor since May 2015","http://www.502data.com//license/412347"
"209","XTRACTED LABS","All-2015",877073,5118,"King County","Processor since May 2015","http://www.502data.com//license/412347"
"210","SOLSTICE PRO","Sep-2016",305485,0,"King County","Processor since Nov 2015","http://www.502data.com//license/412056"
"211","SOLSTICE PRO","Aug-2016",423372,0,"King County","Processor since Nov 2015","http://www.502data.com//license/412056"
"212","SOLSTICE PRO","Jul-2016",135218,0,"King County","Processor since Nov 2015","http://www.502data.com//license/412056"
"213","SOLSTICE PRO","Jun-2016",237676,0,"King County","Processor since Nov 2015","http://www.502data.com//license/412056"
"214","SOLSTICE PRO","May-2016",176776,0,"King County","Processor since Nov 2015","http://www.502data.com//license/412056"
"215","SOLSTICE PRO","Apr-2016",135180,0,"King County","Processor since Nov 2015","http://www.502data.com//license/412056"
"216","SOLSTICE PRO","Mar-2016",158951,0,"King County","Processor since Nov 2015","http://www.502data.com//license/412056"
"217","SOLSTICE PRO","Feb-2016",128021,0,"King County","Processor since Nov 2015","http://www.502data.com//license/412056"
"218","SOLSTICE PRO","Jan-2016",104780,0,"King County","Processor since Nov 2015","http://www.502data.com//license/412056"
"219","SOLSTICE PRO","All-2015",94227,0,"King County","Processor since Nov 2015","http://www.502data.com//license/412056"
"220","VIRGINIA COMPANY","Sep-2016",298401,0,"Spokane County","Producer/Processor since Sep 2015","http://www.502data.com//license/413029"
"221","VIRGINIA COMPANY","Aug-2016",284996,0,"Spokane County","Producer/Processor since Sep 2015","http://www.502data.com//license/413029"
"222","VIRGINIA COMPANY","Jul-2016",203955,0,"Spokane County","Producer/Processor since Sep 2015","http://www.502data.com//license/413029"
